,OBJECTID,BYGNING_ID,FYLKES_NR,FYLKES_NAVN,KOMMUNE_NR,KOMMUNE_NAVN,BYGNINGS_NR,BYGNING_LNR,BYGNINGSTYPE_NR,BYGNINGSTYPE_NAVN,BYGNINGSSTATUS_NR,BYGNINGSSTATUS_NAVN,GODKJENT_DATO,IGANGSATT_DATO,TATT_I_BRUK_DATO,TATT_I_BRUK,NAERINGSGRUPPE_KODE,NAERINGSGRUPPE_NAVN,PAABYGG_TILBYGG_KODE,PAABYGG_TILBYGG_NAVN,REGISTRERT_IGANGSATT_DATO,REGISTRERT_GODKJENT_DATO,VANNFORSYNING_NR,VANNFORSYNING_NAVN,BRUKSAREAL_TOTALT,BRUKSAREAL_BOLIG,BRUKSAREAL_ANNET_BOLIG,ANTALL_ETASJER,ANTALL_BOLIGER,LKOORDINAT_TYPE,LKOORDINATSYSTEM_NR,LKOORDINATSYSTEM_NAVN,LKOORDINAT_KVALITET_KODE,LKOORDINAT_KVALITET_NAVN,LX_KOORDINAT,LY_KOORDINAT,LZ_KOORDINAT,UKOORDINAT_TYPE,UKOORDINATSYSTEM_NR,UKOORDINATSYSTEM_NAVN,UKOORDINAT_KVALITET_KODE,UKOORDINAT_KVALITET_NAVN,UX_KOORDINAT,UY_KOORDINAT,UZ_KOORDINAT,EIENDOM_ANTALL,HAR_HEIS,BEBYGD_AREAL,Energistandard_profet,Byggtype_profet,Energiomraadeid,Energibronn,tatt_i_bruk_sammenstilt,Byggutvalgsident,Planforslag,SHAPE,oppgraderes,grunnvarme,solceller,luft_luft_varmepumpe,fjernvarme,grunnvarme_meter,grunnvarme_kostnad,_nettutveksling_energi,_nettutveksling_vintereffekt,_nettutveksling_sommereffekt,_termisk_energibehov_sum,_levert_fra_kilde_sum,_fjernvarmeproduksjon_sum,_elspesifikt_energibehov_sum,_kompressor_sum,_spisslast_sum,_solcelleproduksjon_sum,_termisk_energibehov_vintereffekt,_levert_fra_kilde_vintereffekt,_fjernvarmeproduksjon_vintereffekt,_elspesifikt_energibehov_vintereffekt,_kompressor_vintereffekt,_spisslast_vintereffekt,_solcelleproduksjon_vintereffekt,_termisk_energibehov_sommereffekt,_levert_fra_kilde_sommereffekt,_fjernvarmeproduksjon_sommereffekt,_elspesifikt_energibehov_sommereffekt,_kompressor_sommereffekt,_spisslast_sommereffekt,_solcelleproduksjon_sommereffekt,scenario_navn
0,1,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,Y,A,A,,,P3,1,"{'x': 571913.2309999997, 'y': 7036682.999899998, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",False,True,True,False,False,81.0,48600.0,,,,0.0090358529,0.0064541807,0.0,0.0040077227,0.0025816723,0.0,,0.0029537585,0.0021098275,0,0.000408375,0.000843931,0.0,,0.0002376108,0.000169722,0,0.0004668583,6.78888e-05,0.0,,MerLokalproduksjon
1,2,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,Y,A,A,,,P3,1,"{'x': 571915.5981999999, 'y': 7036687.643100001, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",False,True,True,False,False,81.0,48600.0,,,,0.0090358529,0.0064541807,0.0,0.0040077227,0.0025816723,0.0,,0.0029537585,0.0021098275,0,0.000408375,0.000843931,0.0,,0.0002376108,0.000169722,0,0.0004668583,6.78888e-05,0.0,,MerLokalproduksjon
2,3,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,Y,A,A,,,P3,1,"{'x': 571918.5040999996, 'y': 7036691.767299999, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",False,True,True,False,False,81.0,48600.0,,,,0.0090358529,0.0064541807,0.0,0.0040077227,0.0025816723,0.0,,0.0029537585,0.0021098275,0,0.000408375,0.000843931,0.0,,0.0002376108,0.000169722,0,0.0004668583,6.78888e-05,0.0,,MerLokalproduksjon
3,4,,,,,,,,,,,,,,,,,,,,,,,,730.0,730.0,730.0,,,,,,,,,,,,,,,,,,,,,,Y,A,A,,,P3,1,"{'x': 572029.8233000003, 'y': 7036736.3455, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",False,True,True,False,False,589.0,353400.0,,,,0.0659617263,0.0471155188,0.0,0.0292563755,0.0188462075,0.0,,0.0215624372,0.0154017409,0,0.0029811375,0.0061606963,0.0,,0.0017345587,0.0012389705,0,0.0034080658,0.0004955882,0.0,,MerLokalproduksjon
4,5,,,,,,,,,,,,,,,,,,,,,,,,2000.0,2000.0,2000.0,,,,,,,,,,,,,,,,,,,,,,Y,A,A,,,P3,1,"{'x': 572091.0394000001, 'y': 7036739.9012, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",False,True,True,False,False,1614.0,968400.0,,,,0.1807170583,0.1290836131,0.0,0.0801544535,0.0516334452,0.0,,0.0590751704,0.0421965503,0,0.0081675,0.0168786201,0.0,,0.0047522156,0.0033944397,0,0.0093371666,0.0013577759,0.0,,MerLokalproduksjon
5,6,,,,,,,,,,,,,,,,,,,,,,,,2000.0,2000.0,2000.0,,,,,,,,,,,,,,,,,,,,,,X,A,A,,,P3,1,"{'x': 572114.9985999996, 'y': 7036752.3059, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",False,True,True,False,False,2745.0,1647000.0,,,,0.3074245995,0.2195889996,0.0,0.0801544535,0.0878355998,0.0,,0.1072823798,0.0766302713,0,0.0081675,0.0306521085,0.0,,0.0125106554,0.0089361824,0,0.0093371666,0.003574473,0.0,,MerLokalproduksjon
6,7,,,,,,,,,,,,,,,,,,,,,,,,2000.0,2000.0,2000.0,,,,,,,,,,,,,,,,,,,,,,Y,A,A,,,P3,1,"{'x': 572169.3224, 'y': 7036762.197700001, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",False,True,True,False,False,1614.0,968400.0,,,,0.1807170583,0.1290836131,0.0,0.0801544535,0.0516334452,0.0,,0.0590751704,0.0421965503,0,0.0081675,0.0168786201,0.0,,0.0047522156,0.0033944397,0,0.0093371666,0.0013577759,0.0,,MerLokalproduksjon
7,8,,,,,,,,,,,,,,,,,,,,,,,,2000.0,2000.0,2000.0,,,,,,,,,,,,,,,,,,,,,,Y,A,A,,,P3,1,"{'x': 572196.1512000002, 'y': 7036766.512800001, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",False,True,True,False,False,1614.0,968400.0,,,,0.1807170583,0.1290836131,0.0,0.0801544535,0.0516334452,0.0,,0.0590751704,0.0421965503,0,0.0081675,0.0168786201,0.0,,0.0047522156,0.0033944397,0,0.0093371666,0.0013577759,0.0,,MerLokalproduksjon
8,9,,,,,,,,,,,,,,,,,,,,,,,,2000.0,2000.0,2000.0,,,,,,,,,,,,,,,,,,,,,,Y,A,A,,,P3,1,"{'x': 572217.3804000001, 'y': 7036751.718800001, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",False,True,True,False,False,1614.0,968400.0,,,,0.1807170583,0.1290836131,0.0,0.0801544535,0.0516334452,0.0,,0.0590751704,0.0421965503,0,0.0081675,0.0168786201,0.0,,0.0047522156,0.0033944397,0,0.0093371666,0.0013577759,0.0,,MerLokalproduksjon
9,10,,,,,,,,,,,,,,,,,,,,,,,,2000.0,2000.0,2000.0,,,,,,,,,,,,,,,,,,,,,,Y,A,A,,,P3,1,"{'x': 572210.9636000004, 'y': 7036813.665199999, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",False,True,True,False,False,1614.0,968400.0,,,,0.1807170583,0.1290836131,0.0,0.0801544535,0.0516334452,0.0,,0.0590751704,0.0421965503,0,0.0081675,0.0168786201,0.0,,0.0047522156,0.0033944397,0,0.0093371666,0.0013577759,0.0,,MerLokalproduksjon
10,11,,,,,,,,,,,,,,,,,,,,,,,,1380.0,1380.0,1380.0,,,,,,,,,,,,,,,,,,,,,,Y,F,A,,,P3,1,"{'x': 572277.2072000001, 'y': 7036563.645399999, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",False,True,True,False,False,600.0,360000.0,,,,0.1153449641,0.0479785241,0.0,0.10298716,0.0191914096,0.0481750305,,0.0787115513,0.0068194372,0,0.0165031454,0.0027277749,0.0691643392,,0.0084993309,0.0060709506,0,0.0245025983,0.0024283802,0.0,,MerLokalproduksjon
11,12,,,,,,,,,,,,,,,,,,,,,,,,6140.0,6140.0,6140.0,,,,,,,,,,,,,,,,,,,,,,Z,K,A,,,P3,1,"{'x': 572180.2703, 'y': 7036831.2467, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",False,False,False,False,False,0.0,0.0,1.097,0.246,0.187,0.3465868565,0.0,0.0,0.7503799053,0.0,0.0,0.0,0.1449492985,0.0,0,0.1014755786,0.0,0.0,0.0,0.0250223107,0.0,0,0.1616151484,0.0,0.0,0.0,MerLokalproduksjon
12,13,,,,,,,,,,,,,,,,,,,,,,,,80.0,80.0,80.0,,,,,,,,,,,,,,,,,,,,,,Y,A,A,,,P3,1,"{'x': 572242.2696000002, 'y': 7036687.826499999, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",False,True,True,False,False,65.0,39000.0,,,,0.0072286823,0.0051633445,0.0,0.0032061781,0.0020653378,0.0,,0.0023630068,0.001687862,0,0.0003267,0.0006751448,0.0,,0.0001900886,0.0001357776,0,0.0003734867,5.4311e-05,0.0,,MerLokalproduksjon
13,14,,,,,,,,,,,,,,,,,,,,,,,,160.0,160.0,160.0,,,,,,,,,,,,,,,,,,,,,,Y,A,A,,,P3,1,"{'x': 572237.1994000003, 'y': 7036694.312199999, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",False,True,True,False,False,129.0,77400.0,,,,0.0144573647,0.010326689,0.0,0.0064123563,0.0041306756,0.0,,0.0047260136,0.003375724,0,0.0006534,0.0013502896,0.0,,0.0003801772,0.0002715552,0,0.0007469733,0.0001086221,0.0,,MerLokalproduksjon
14,15,,,,,,,,,,,,,,,,,,,,,,,,178.0,178.0,178.0,,,,,,,,,,,,,,,,,,,,,,Y,A,A,,,P3,1,"{'x': 572230.4687999999, 'y': 7036703.550299998, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",False,True,True,False,False,144.0,86400.0,,,,0.0160838182,0.0114884416,0.0,0.0071337464,0.0045953766,0.0,,0.0052576902,0.003755493,0,0.0007269075,0.0015021972,0.0,,0.0004229472,0.0003021051,0,0.0008310078,0.0001208421,0.0,,MerLokalproduksjon
